input,class
i will be going back and heartily recommend it,2
it is terrific as is the value,2
6 and there is much tasty food all of it fresh and continually refilled,2
i am not a vegetarian but almost all the dishes were great,2
go hungry and enjoy,2
i like the somosas chai and the chole but the dhosas and dhal were kinda disappointing,0
the service varys from day to day sometimes they re very nice and sometimes not,2
the kitchen however is almost always slow,0
if you ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer,1
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening,2
the lava cake dessert was incredible and i recommend it,2
once you step into cosette you re miraculously in a small off the beaten path parisian bistro,2
this tiny restaurant is as cozy as it gets with that certain parisian flair,2
the food was average to above average the french onion soup filling yet not overly impressive and the desserts not brilliant in any way,0
however go for the ambience and consider the food just a companion for a trip across the world,1
the pizza was delivered cold and the cheese was n t even fully melted,0
it looked like shredded cheese partly done still in strips,1
this has got to be one of the most overrated restaurants in brooklyn,0
the pizza is overpriced and soggy,0
yes they use fancy ingredients but even fancy ingredients do n t make for good pizza unless someone knows how to get the crust right,0
a big disappointment all around,0
i think i ve had some the best meals of my life at minnow,2
the seafood is amazing there s a good wine list and the ever changing menu always offers some great surprises,2
the combination of super fresh ingredients in the dishes are unusual but really delicious,2
worth the trip from manhattan,1
best pastrami i ever had and great portion without being ridiculous,2
my wife had the fried shrimp which are huge and loved it,2
as a japanese native i ve lived in the tristate area for over 8 years but i was just so amazed at this place,2
this place is the most japanese it can ever get,1
the signs the specials menus food and even all the waitstaff are all totally japanese,1
this place is worth an one hour drive,2
i am so coming back here again as much as i can,2
leon is an east village gem casual but hip with well prepared basic french bistro fare good specials a warm and lively atmosphere,2
my wife and i always enjoy the young not always well trained but nevertheless friendly staff all of whom have a story,2
decent wine at reasonable prices,2
our teenage kids love it too,2
everytime i decide to try another place on the ues i get angry that i did n t just go to zucchero pomodori,0
this is by far my favorite place in the neighborhood,2
the service is excellent the decor is great and the food is delicious and comes in large portions,2
i m partial to the gnocchi,1
this place is incredibly tiny,0
they refuse to seat parties of 3 or more on weekends,0
the hostess is rude to the point of being offensive,0
the food was bland oily,0
i just do n t understand all the hype,0
we have been to this place many times and always have great food wine and service,2
we were worried we would have trouble getting in but somehow managed to have a short wait,1
as always we had a great glass of wine while we waited,2
when we sat we got great and fast service,2
the people that work there are always so friendly you forget you are in new york sometimes,2
this is a fun restaurant to go to,2
the pizza is yummy and i like the atmoshpere,2
but the pizza is way to expensive,0
a large is 20 and toppings are about 3 each,1
i went there for lunch and it was not as good as i expected from the reviews i read,0
sauce was watery and the food did n t have much flavor,0
i do n t think i would go again,0
this place is great,2
the waitress was very patient with us and the food is phenomenal,2
service was prompt friendly and great,2
slightly on the pricey side but worth it,2
great pizza and fantastic service,2
there was a small wait but shorter than i expected,1
located at the end of a magnificent block,2
very cozy and warm inside,2
i will be back,2
this is the best sushi in new york city hands down,2
the place is small and cramped but the food is fantastic,2
planet thailand has always been a hit with me i go there usually for the sushi which is great the thai food is excellent too,2
with the great variety on the menu i eat here often and never get bored,2
the atmosphere is n t the greatest but i suppose that s how they keep the prices down,1
it s all about the food,1
first it took us a long time to find the place,0
but when we looked at the menu there were n t a lot of choices most of them were dumplings in the appetizer section,1
those rolls were big but not good and sashimi was n t fresh,0
they were dry and disgusting i did n t even finish my first piece,0
hurley s is like cheers where everyone knows your name and they are actually glad you came,2
try the crunchy tuna it is to die for,1
try everything for that matter it is all good,2
i have been going there since it opened and i ca n t get enough,1
first went here to enjoy their garden terrace,2
the food was amazing and the service was prompt and helpful but not over bearing or rushed,2
the steak tartare is a great bet they fix it for you at the table,2
admittedly some nights inside the restaurant were rather warm but the open kitchen is part of the charm,2
great wine selection gigondas is worth the price and the house champagne is a great value,2
it may be a bit packed on weekends but the vibe is good and it is the best french food you will find in the area,2
have recommended the place to friends always gets good response,2
pizza the only pizza in nyc that should not have additional toppings the crust tastes like the best freshly baked bread,2
i take all my nyc guests to vt s,1
not sure where the previous reviewer lonk dined but saul is in a great neighborhood and has great food,2
i ve been there three times and have always had wonderful experiences,2
i d highly recommend it for a special occasion it provides and intimate setting and nice service,2
i m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much and we re repeat customers,2
even after they overcharged me the last time i was there,0
it s delicious,2
moules were excellent lobster ravioli was very salty,2
took my mom for mother s day and the maitre d was pretty rude,0
told us to sit anywhere and when we sat he said the table was reserved,1
stepped on my foot on the second time he reached over me to adjust lighting,1
tiny dessert was 8 00 just plain overpriced for what it is,0
the drinks are always well made and wine selection is fairly priced,2
try their chef s specials they are to die for,0
service is not exactly five star but thats not really a big deal,1
downstairs lounge is always a good attraction,2
the exotic food is beautifully presented and is a delight in delicious combinations,2
it is also extremely well priced,2
the staff is incredibly helpful and attentive,2
the bar is very well stocked with interesting beers and well priced wines,2
this is one of my favorite restaurants and it is not to be missed,2
your friends will thank you for introducing them to this gem,2
when we stumbled on leon we thought that we had found quite the gem but we were certainly wrong,1
the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet we were told no,0
then to top things off she dropped used silverware on my boyfriend s jacket and did not stop to apologize or clean the mess that was left on clothes,0
such a disappointment,0
rude service medicore food there are tons of restaurants in ny stay away from this one,0
i loved everythig about it especially the shows and actors,2
our server was very helpful and friendly,2
the food was good too,2
the tuna and wasabe potatoes are excellent,2
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful,2
inside is a little cramped but to be expected,1
service was prompt and courteous,2
this was a repeat visit and we ll definitely be back again,2
great service great food,2
prices are in line,1
but too far east,1
the pizza is delicious they use fresh mozzarella instead of the cheap frozen shredded cheese common to most pizzaria s,2
two complaints their appetizer selection stinks it would be nice to get some mozzarella sticks on the menu,0
also because it is so thin it gets cold very quickly and its not that filling,0
wait staff is blantently unappreciative of your business but its the best pie on the uws,2
by far the best salad i have had in a fast food restaurant,2
over 100 different choices to create your own,1
a must try,1
on a recent sunday afternoon a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt,2
this was the perfect quiet relaxing and delicious accompaniment to our afternoon of theater,2
the chicken pot pie is exceptional the cheeseburger huge and delictable and the service professional wan warm,2
with so many poor experiences to be had in the theater district is truly an excellent find,2
the staff is no nonsense,1
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else,2
worth visiting the 1st ave spot because it is the original store,2
he served me an uni hand roll which i never had before and let me tell you it was heaven,2
the sake menu should not be overlooked,1
all in all this midtown gem instantly became one of my favorite sushi restaurants in the city,2
try the lobster teriyaki and the rose special roll,1
service was very good prompt attentive and non intrusive,2
food was very good as well considering that we tried the budget selection though i wish the pork belly that i ordered was roasted a bit longer so that fat was more of a melt in your mouth experience,2
wine list selection is good and wine by the glass was generously filled to the top,2
traditional french decour was pleasant though the hall was rather noisy the restaurant was full and we had to raise our voices to be able to maintain a conversation,1
i ve been to at cafe spice probably 5 8 times it is probably still the best indian restaurant around union square,2
to sum it up service varies from good to mediorce depending on which waiter you get generally it is just average ok,0
seating is always prompt though the restaurant does fill up in the evening,2
food is usually very good though ocasionally i wondered about freshmess of raw vegatables in side orders,2
as many other reviewers noticed your order is often slow to arrive this is particularly true in the evening but is not a problem during lunch time,1
the decor is vibrant and eye pleasing with several semi private boths on the right side of the dining hall which are great for a date,2
i have never been disappointed in the red eye,2
the first time i went and was completely taken by the live jazz band and atmosphere i ordered the lobster cobb salad,1
it s simply the best meal in nyc,2
you can not go wrong at the red eye grill,2
if we were to move from the upper east side we would genuinely miss this restaurant,0
the restaurant is cute but not upscale,1
the food is a diamond in rough the food is delicious and homemade with the perfect balance of herbs and tomatoes,2
i would highly recommend it,2
it s one of our favorite places to eat in ny,2
we had a great time at the jekyll and hyde pub last night,2
after really enjoying ourselves at the bar we sat down at a table and had dinner,2
the server was really cool and served us our food and drinks with a smile,2
the place s decor and hidden bathrooms made for a good laugh,2
i highly recommend visiting this restaurant and having dinner and drinks,2
if you are the type of person who likes being scared and entertained this is a great place to go and eat,2
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious if i must recommend a dish it must be the pumkin tortelini,2
the entertainment was great they have shows that go on through out the dinner,2
you will not be disapointed at all,1
we were not dissappointed in the least bit by this little gem,2
the bagel was huge,2
the workers there also absolutely load the bagel with cream cheese gets a little messy,0
i loved it and would highly recommend,2
this was my frist time at cafe st bart s and i must say how delicious the food and the service was,2
i have to highly recommend the lobster roll not to much mayo you can tell it was a fresh lobster,2
other guests enjoyed pizza santa fe chopped salad and fish and chips,2
i highly recommend cafe st bart s for their food the ambience and wonderful service,2
all the staff is absolutely professional,2
that is a must but not every restaurant can do,1
there s nice and quiet small but enough for 6 or more,2
this restaurant was way overhyped,0
my chow fun and chow see was really bland and oily,0
okay i do n t mind the oily part cause most are cooked that way but it was way too bland,0
the scallion pancakes and fried dumplings were nothing out of the ordinary,2
the service was the only thing good about this restaurant,2
it s boring on the inside and our sushi was pretty below average the tuna was soggy and the other rolls had no flavor,0
i definitely would n t go back,0
their pad penang is delicious and everything else is fantastic,2
the price is reasonable although the service is poor,1
great for a romantic evening or a fun evening with friends,2
i will be going back very soon,2
keep up the good work,2
it was wonderful,2
the salads are delicious both refreshing and very spicy,2
we had pam s special fried fish and it was amazing,2
too large for just two people but nothing was left,0
great vibe lots of people,2
my husbands was perfect my was well done and dry,2
i did n t complain i liked the atmosphere so much,2
on a hot day it was fabulous to stop in and enjoy lunch,2
ambience is so cute and quaint good for business although we were there on vacation,2
salads were fantastic,2
although we were looking for regular lettuce and some walnuts the salads we got were great,2
ingredients are organic which is a real plus for me,2
we will be back,2
the spicy tuna roll is huge and probably the best that i ve had at this price range,2
the yellowtail was particularly good as well,2
i have reservations about the all you can eat deal however the choices are fairly limited and you can probably order more food than you can eat for less than 18 by just going off the menu,0
in any event this is a place i ll be sure to stop by again when i m in this part of town,2
big wong gets big ups for a fine establishment,1
they have it all great price food and service,2
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can,0
the food is prepared quickly and efficiently,2
and it all comes at a very reasonable price congee noodles and rice dishes are no more than 3 6 each,2
the takeout is great too since they give high quality tupperware as well,2
enjoyed a very nice caesar salad while my wife had arugula and goat cheese both very tasty,2
we both opted for a pasta dish and they were served timely and fresh,2
we concluded with tiramisu chocolate cake both were delicious,2
we d go back again,1
i recently went to this restaurant with some co workers for lunch and had an amazing time,2
the staff was accomodating the food was absolutely delicious and the place is lovely,2
we even had a visit from the manager who wanted to make sure we were enjoying ourselves,2
yes the prices are high but i felt it was worth it,2
we all felt it was worth it,2
sometimes i get good food and ok service,2
sometimes i get bad food and bad service sometimes i get good good and bad service,0
it is not consistent,0
the place is a bistro which means simple dishes and wine served efficiently in a bustling atmosphere,2
and where does patis go wrong no where,0
you are not eating haut cuisine with subtle hints of whatever but cassuolet steake fritte tripe stew etc simple stuff,0
right off the l in brooklyn this is a nice cozy place with good pizza,2
mine was a little burnt but still delicious with goat cheese and panchetta raddichio was kind of bitter though,2
my friend got the mushroom pizza which tasted better,2
the sangria was pretty tasty and good on a hot muggy day,2
kind of a small place but i guess if they are not too busy might be able to fit a group or kids,1
overall i would recommend it and go back again,2
i started out with a bombay beer which was big enough for two,2
mmmmm it was delicious,2
service was slow but the people were friendly,2
it s a nice place to relax and have conversation,2
i ca n t wait to go back,1
the food is authentic italian delicious,2
pizza is terrific as is homemade pasta,2
ambience is delightful service impeccable,2
service was also horrible and the ambience is not that great,0
do not try unless you re just going there to hang out like the rest of the hipsters who apparently have no sense of taste,0
i go and eat out at many different restaurants and this is one place you have go and try,2
this is my first time writing a review for a restaurant because the food and service was excellent,2
the filet mignon dish was superb,2
i would defiantly come back here again as one of my top choices,2
it s a small cute restaurant,2
i absolutely love this place,2
i like the ambience it s very dark and original,2
the sushi is amazing,2
and amazingly cheap,2
very affordable and excellent ambient,2
we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai,0
we were very disappointed,0
we wo n t go to this place again for a good meal,1
however i think this place is a good hang out spot,2
my girlfriend and i stumbled onto this hopping place the other night and had a great time,2
they tell me they are going to cover the garden in glass for the winter so i m looking forward to going there on a snowy night to enjoy it,2
check this place out,0
highly recommended,2
first of all this place is not romantic as claimed by citysearch s editorial review,0
either that or the editor s idea of romance must be sharing a conversation with the next table while trying to speak louder than the traffic on 57th,1
the tables are crammed way too close the menu is typical of any italian restaurant and the wine list is simply overpriced,0
slightly above average wines start at 70 with only one selection listed at 30,1
service is not what one would expect from a joint in this price category,0
for instance plates were just dumped on the table i was handed the wine list upside down etc,0
somehow working the italian charm with constant mille grazie does not constitute proper service,0
to be completely fair the only redeeming factor was the food which was above average but could n t make up for all the other deficiencies of teodora,1
not one of our meals was edible bland and or made with weird rosemary or orange flavoring,0
fish was overdone,0
cute place nice wait staff but would never go there again,2
someone else recommended the dessert we also left that,1
one of us actually liked the expresso that s it,2
skip this restaurant it s a big disappointment,0
myagi is one of my favorite restaurants in the city the place the negative reviews describe sound like they were somewhere else,2
i ve never had bad service and the fish is fresh and delicious,2
their tuna tartar appetizer is to die for,2
i come from a family of pizzeria owners and i m almost ashamed to say that the pizza in fornino s blows my families receipies away,0
the place is so cool and the service is prompt and curtious,2
i highly recommend to anyone to give this place a try,2
you will find yourself returning quite often,1
a restaurant that does n t try to do anything except serve great food with great service in a pleasant atmosphere,2
no gimmicks here the food speaks for itself in its freshness and preparation,2
the dining room is quietly elegant with no music to shout over how refreshing,2
the service was impeccable and unobtrusive the staff knows what they are there to do to know their menu present your meal and attend to your needs,2
looking around i saw a room full of new yorkers enjoying a real meal in a real restaurant not a clubhouse of the fabulous trying to be seen,2
the view is breathtaking the service is top notch the ambiance is wonderful,2
the staff offers impeccable service,2
i had lobster bisque it has 2 oz of maine lobster in it,1
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque,2
it was divine melts in your mouth,2
my boyfriend had prime rib it was good,2
we did n t want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough,1
it s cuz it s so good you need to taste it,2
all in all we re already coming up with excuses to go ahead really soon in the next few wks,1
my wife and i ate here earlier this week and have not stopped ranting and raving about the food,1
if you like spicy food get the chicken vindaloo,1
it s very spicy but not offensive,1
we will definitely go back,2
go to volare for 1st class service and terrific food,2
the portions are large and the servers always surprise us with a different starter,2
the wine list is excellent,2
the food is amazing especially if you get the chef s tasting menu and your favourite bottle or two of wine from an extensive selection of wines,2
the place is small and intimate and you may feel a little crowded but the service is excellent and it s great for friends out a romantic date or a special occassion,2
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n t like,2
please be aware that it s cash or amex only,1
with the exception of our lemon salad that had so much pepper on it that our eyes started watering the food here was decent not great,0
we ordered the special grilled branzino that was so infused with bone it was difficult to eat,0
the decor in this place is very diner ish and the kind of place you expect in the east village not romantic just simple small and sparse,0
problem is nothing at prune is particularly memorable,0
no plans to return anytime soon,1
this place is so much fun,2
our family never expected such incredible entertainment in a restaurant,2
our food was great too,2
and really large portions,1
the staff was the friendliest that have seen in new york,2
if you want something really different than try jekyll and hyde,1
it is a lot of fun with live entertainment and all kinds of disney type special effects,2
the food was pretty tradional but it was hot and good with large portions,2
i highly recommend it,2
the place is a lot of fun,2
my six year old loved it,2
the food however is what one might expect,1
it is very overpriced and not very tasty,0
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them,1
service was slow had to wait to order and get food although not crowded,0
drinks way over priced,0
food was good not great not worth the wait or another visit,0
great pizza for lunch place,2
service was quick,1
the pizza was great,2
and it was quick which is very important,2
have the iced tea,1
whenever you need a sushi fix mizu will be there with quality fish and great service,2
delivery is fast too,2
great friendly service fast seating fast delivery excellent sushi,2
ess a bagel either by sty town or midtown is by far the best bagel in ny,2
the bagels always warm soft on the inside crispy on the outside and enormous in size,2
they have a huge selection of different cream cheeses and all of their salads are great,2
the lox is always fresh too,2
highly recommended to all,2
not impressed with the food,0
prices too high for this cramped and unappealing resturant,0
zero ambiance to boot,1
i thought this place was totally overrated,0
everything we had was good or ok but definitely nothing great,0
the ambience was nice but service was n t so great,2
when you add it all together it just does n t seem worth it to me especially considering the prices,0
this is the best shabu shabu restaurant in the try state area,2
thius is a must for anyone who loves shabu shabu,2
the atmosphere is nothing special but it feels like a sushi establishment in tokyo,1
the owner and staff are all japanese as well and that adds to the entire ambiance,2
despite a slightly limited menu everything prepared is done to perfection ultra fresh and a work of food art,2
i must give it yon out of yon stars,1
taxan delicious,2
this restaurant was recommended by a local as a matter of fact he made the reservation for us and said we would not be disappointed,2
we were n t,1
the prices were cheap compared to the quality of service and food,1
we liked it so much that we will always make it a point to dine here when we visit new york,2
the location and ambience is ok but the food is what makes up for it,2
there is a lot of variety even for people who eat vegetarian like me,2
try green curry with vegetables,1
the quantity is also very good you will come out satisfied,2
the service is ok some of the people did n t get what they asked for,1
i was there on sat for my birthday and we had an excellent time,2
i had the best ravioli ever,2
the wine the service was very good too,2
moderate prices,1
a little noise but i think that was because of our party,1
this quaint and romantic trattoria is at the top of my manhattan restaurant list,2
the food is delicious from the specials to the regular menu fare the dishes are never a disappointment,2
whether it s the parmesean porcini souffle or the lamb glazed with balsamic vinegar you will surely be transported to northern italy with one bite,1
although the tables may be closely situated the candle light food quality and service overcompensate,0
a guaranteeed delight,2
i have known about this secret for the last 13 years emilio the godfather has continued to serve food and wine for the gods at mortal prices,1
if you go try the marinara arrabiatta sauce the mozzarella en carozza is mmmmmmmm everything is just delicious,2
i pray it stays open forever,2
i found the food service and value exceptional everytime i have been there,2
i felt as though i were eating in paris,1
the service was excellent friendly and attentive,2
the prices are wonderfully low,2
very good wine choices,2
who has room for cheesesticks with the best pizza in nyc,2
get the pepperoni yum and a family style salad,2
great staff,2
always great service,2
i go twice a month,1
the food is good i ca n t lie,2
the hostess and the waitress were incredibly rude and did everything they could to rush us out,0
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order,1
this place is pricey and yes the food is worth it but the service makes you feel like you should be paying a quater of the price,0
save yourself the time and trouble and skip this one,0
amma is nothing special,0
i ate here a week ago and found most dishes average at best and too expensive,0
will not be back,0
do n t dine at tamarind for the vegetarian dishes they are simply not up to par with the non veg selections,0
this place is always packed,0
most importantly food is excellent,2
try the sea bass,1
highly recommended,2
first of all dal bukhara rocks,1
i am happy i did the food was awsome,2
and yes dal bukhara is so dam good and so are all the kababs,2
but overall i give it a 10,2
10,1
haru on park s is simply disgusting,0
the fish was not fresh and the rice tasted old and stale,0
quite frankly this is some of the worst sushi i have ever tried,0
will never be back,0
honestly the worst sushi my husband and i had in our entire lives,0
not sure why this restaurant would be rated that highly,0
the all u can eat sushi is definitely in very poor quality,0
wont come back again for sure,1
the only things u could really taste are the very salty soy sauce even its low sodium the vinegar soaked rice and the scallion on top of the fish,1
the waitstaffs are nice though,2
i have been to roth s twice and both times were very disappointing,0
both times i was extremely dissappointed by the service which was boarderline rude,0
they wouldnt even let me finish my glass of wine before offering another,0
much of the time it seems like they do not care about you,0
the dinner was ok nothing i would have again,2
this was a great surprise,2
i look forward to eating here again,2
planet thai is great,2
we love the food drinks and atmosphere,2
the svc can be a bit rude at times esp if you have big group but overall the restaurant is a must,0
try the pad thai it s fabulous and their prices are so cheap,2
just because it s cheap does not mean the portions are small or the food is nasty it is great,2
they forgot a sandwich did n t include plastic forks and did n t include pita with the hummus platter,0
also the sandwiches nearing 7 did n t come with anything like chips or a side,1
overall not worth the money,0
eating in the atmosphere saves it but at your desk it s a very disappointing experience,0
chennai garden is my favorite indian restaurant in the city,2
they have authentic indian at amazing prices,2
this restaurant is vegetarian there are no meat dishes whatsoever,1
the seats are uncomfortable if you are sitting against the wall on wooden benches,0
it s a rather cramped and busy restaurant and it closes early,0
the food is tasty and portion sizes are appropriate,2
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates,2
not a great place for family or general dining,0
food is excellent,2
fish is so very fresh,2
waitstaff are very friendly,2
love yuka,2
mermaid inn is an overall good restaurant with really good seafood,2
the lobster sandwich is good and the spaghetti with scallops and shrimp is great,2
the service is good and ambience is good for a date or group outing,2
the only fallback on this restaurant is the prices,0
even though its good seafood the prices are too high,0
the lobster sandwich is 24 and although it was good it was not nearly enough to warrant that price,0
we were very pleasantly surprised,2
the food was delicious i had a halibut special my husband had steak and the service was top notch,2
when my dessert came there was a candle in it not because anyone asked for one but because the waiter must have seen me opening my birthday card and gift and said he knew it was a special occassion of some sort,1
truly the mark of an attentive waiter,1
i highly recommend the restaurant based on our experience last night,2
we ate at this thai place following the reviews but very unhappy with the foods,0
we thought that this place is using too much of msg cooking in the foods,0
they do n t concern much of customer s health just want to make money,0
please do n t fool us,0
i recommend the jelly fish drunken chicken and the soupy dumplings certainly the stir fry blue crab,2
the food is so cheap and the waiters are nice,2
of course it is crowded but who cares,0
authentic shanghai style and i can not recommend a better shanghai place in new york,2
have frequented ino for several years and the food remains excellent,2
cheese plate is a varied delight and great bargain at 10,2
the large selection of bruschettas paninis tramezzinis keep the palate from stagnating,1
the asparagus truffle oil parmesan bruschetta is a winner,2
be sure to try the seasonal and always delicious specials,2
definitely a neighborhood favorite,2
i loved this place,2
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded,2
i like cafe noir dont get me wrong it is jsut that the people who work there are evil and incompetent,0
the service was terrible we had to wait for everything and ask several of different people for the same thing before we were allowed to be served,0
the waitress seems to be more concerned of looking good than actually waitressing,0
after dinner the manager grabbed my boyfriend asked him where are you from maybe you dont know how things work in america and in the end stormed away almost teareyed yelling that tips are the only thing they survive on,0
we did tip i guess the model waitress just wanted more and complained to the manager,1
pizza here is consistently good,2
salads are a delicious way to begin the meal,2
it is thick and slightly soggy,1
decor is charming,2
service is average,0
what a great place,2
the ambience was so fun and the prices were great on top of the fact that the food was really tasty,2
i was n t thrilled to have to wait on line for thirty minutes but i guess that s the price you pay for a popular place,0
i would definitely recommend sea if you like thai cuisine,2
i was here a few weeks back and we had the worst customer service experience at a restaurant ever,0
a gentleman maybe the manager came to our table and without so much as a smile or greeting asked for our order,1
while it is understandable that every place is indeed different there was not a need to be uncourteous to customers and downright rude,1
never again,0
i absolutely loved this place,2
excellent atmosphere delicious dishes good and friendly service,2
this is can became on e of the ny italian food fare institutions,1
i think that it is absolutely brilliant and well runned business operation,2
the wine list is also really nice,2
i have been to casimir over 5 times and i have always had a great time there,2
the food is great and reasonably priced,2
i have tried to make reservations but both times the hostess did n t have my name,0
if the weather is nice try to snag an outside table,2
the staff has been nice but they seemed really stressed and the unisex bathroom needs to be cleaned more often,1
my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent,2
from the spectacular caviar to the hospitable waitstaff i felt like royalty and enjoyed every second of it,2
considering we were the last patrons there and it was after the closing time the waitstaff did not rush us at all and made us feel comfortable and relaxed,2
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service,2
nice family owned traditional restaurant,2
i was pleasantly surprised to find this gem in hoboken,2
i found the food to be outstanding particulary the salmon dish i had,2
i also ordered the change mojito which was out of this world,1
my friends settled for rice dishes but we came back the following day to try the dim sum which was good not outstanding but good,2
we ate out in the back patio which is worth it as it s cool and the music is hear well there,2
overall excellent restaurant,2
the food was good,2
the place was nice and calm,2
but the service was a bit slow,0
the buffet had a nice selection,2
the food was average or above including some surprising tasty dishes,2
service was also very good,2
i would go back,2
i got an excellent piece of cheesecake and we had several other nice pastries,2
i would recommend roxy s for that but not for their food,1
my son and his girlfriend both wanted cheeseburgers and they were huge,2
but they were too big for the bun,0
consequently their burgers fell apart in their hands and made such a mess that they did nt feel like finishing them,0
also they were 15 each,1
i had a huge pastrami sandwich on a roll,2
it was 14 not really bad for a pound of pastrami but it did n t have much taste i ve had better for less elsewhere,1
this place is really trendi but they have forgotten about the most important part of a restaurant the food,0
the last two times i ordered from here my food was soo spicy that i could barely eat it and the spice took away from the flavor of the dish,0
and the tom kha soup was pathetic,0
if you want good authentic thai this place is not the place to go,0
we went here for lunch a couple of weeks ago on a saturday and i was thoroughly impressed with the food,2
the pesto pizza was excellent thin crust pizza with a nice amount of spicy italian cheese that i d never heard of before,2
conveniently located too being right on bedford ave,2
the back garden sitting area is very pleasant where you can see their personal herb garden,2
we had the lobster sandwich and it was fantastic,2
my husband said he could ve eaten several more the portion was fine for me he even exclaimed that the french fries were the best he has had,2
we had the scallops as an appetizer and they were delicious and the sauce was wonderful,2
we waited at the bar and had martinis that were just right,2
love the food,2
it s the only place you can get yummy authentic japanese comfort food,2
and you ca n t beat the prices,0
i ve lived in ny for 5 years and this place has it all,2
great food good size menu great service and an unpretensious setting,2
the dishes offered were unique very tasty and fresh from the lamb sausages sardines with biscuits large whole shrimp to the amazing pistachio ice cream the best and freshest i ve ever had,2
i m glad i was introduced to this place and this is a rare gem in ny,2
the freshest best variety and the fastest delivery,2
also very inexpensive,2
the service was excellent and the food was delicious,2
we are very particular about sushi and were both please with every choice which included ceviche mix special crab dumplings assorted sashimi sushi and rolls two types of sake and the banana tempura,2
definitely a great spot for a nice occasion or date,2
average to good thai food but terrible delivery,0
i ve waited over one hour for food,0
they were very abrupt with me when i called and actually claimed the food was late because they were out of rice,0
a thai restaurant out of rice during dinner,1
the food arrived 20 minutes after i called cold and soggy,1
